eject	2.41.3-3ubuntu2	installed
emacsen-common	3.0.8build1	installed
enchant	2.8.16+dfsg-4	installed
espeak-ng-data:arm64	1.52.0+dfsg-5build1	installed
ethtool	1:7.1-1	installed
evolution-data-server	3.56.2-8	installed
evolution-data-server-common	3.56.2-8	installed
exfatprogs	1.4.3-1	installed
fakeroot	2.1.4-1ubuntu1	installed
fdisk	2.41.3-3ubuntu2	installed
ffmpeg	7:8.1.2-2ubuntu2	installed
file	1:5.47-4	installed
file-roller	44.7-1	installed
findutils	4.11.0-2	installed
firefox	1:1snap1-0ubuntu10	installed
firmware-sof-signed	2025.12.2-2	installed
flash-kernel	3.110ubuntu4	installed
flex	2.6.4-8.2build2	installed
fontconfig	2.17.1-5ubuntu1	installed
fontconfig-config	2.17.1-5ubuntu1	installed
fonts-dejavu-core	2.37-9	installed
fonts-dejavu-mono	2.37-9	installed
fonts-droid-fallback	1:8.1.0r7-1~1.gbp36536bbuild1	installed
fonts-font-awesome	5.0.10+really4.7.0~dfsg-4.1build1	installed
fonts-freefont-ttf	20211204+svn4273-4build1	installed
fonts-ipafont-gothic	00303-23ubuntu1	installed
fonts-lato	2.015-1build1	installed
fonts-liberation	1:2.1.5-3build1	installed
fonts-liberation-sans-narrow	1:1.07.6-4build1	installed
fonts-noto-cjk	1:20240730+repack1-1build1	installed
fonts-noto-color-emoji	2.051-1build1	installed
fonts-noto-core	20201225-6	installed
fonts-noto-mono	20201225-6	installed
fonts-opensymbol	4:102.12+LibO26.8.0.3-0ubuntu1	installed
fonts-tlwg-loma-otf	1:0.7.4-2	installed
fonts-ubuntu	0.869+git20240321-0ubuntu2	installed
fonts-unifont	1:16.0.04-1build1	installed
fonts-urw-base35	20200910-9	installed
fonts-wqy-zenhei	0.9.45-8build1	installed
foomatic-db-compressed-ppds	20260719-1	installed
fprintd	1.94.5-4maysync1	installed
friendly-recovery	0.2.42build1	installed
ftp	20260211-2build1	installed
fuse3	3.18.2-2	installed
fwupd	2.1.6-3ubuntu1	installed
fwupd-signed	1.55+1.7-1	installed
g++	4:15.2.0-5ubuntu1	installed
g++-15	15.3.0-3ubuntu1	installed
g++-15-aarch64-linux-gnu	15.3.0-3ubuntu1	installed
g++-aarch64-linux-gnu	4:15.2.0-5ubuntu1	installed
gamemode	1.8.2-2build1	installed
gamemode-daemon	1.8.2-2build1	installed
gawk	1:5.3.2-1ubuntu2	installed
gcc	4:15.2.0-5ubuntu1	installed
gcc-15	15.3.0-3ubuntu1	installed
gcc-15-aarch64-linux-gnu	15.3.0-3ubuntu1	installed
gcc-15-base:arm64	15.3.0-3ubuntu1	installed
gcc-16-base:arm64	16.2.0-2ubuntu1	installed
gcc-aarch64-linux-gnu	4:15.2.0-5ubuntu1	installed
gcr	3.41.2-6	installed
gcr4	4.4.0.1-8	installed
gdb	17.2-1ubuntu1	installed
gdisk	1.0.10-3	installed
gdm3	51~rc-0ubuntu1	installed
geoclue-2.0	2.7.2-2ubuntu3	installed
geocode-glib-common	3.26.4-3	installed
gettext-base	1.0-3	installed
ghostscript	10.07.1~dfsg-1ubuntu1	installed
gir1.2-accountsservice-1.0:arm64	26.27.3-0ubuntu1	installed
gir1.2-adw-1:arm64	1.10~beta.1-1ubuntu1	installed
gir1.2-atk-1.0:arm64	2.61.90-1	installed
gir1.2-atspi-2.0:arm64	2.61.90-1	installed
gir1.2-dbusmenu-glib-0.4:arm64	18.10.20180917~bzr492+repack1-4build1	installed
gir1.2-freedesktop:arm64	1.86.0-6build1	installed
gir1.2-gck-2:arm64	4.4.0.1-8	installed
gir1.2-gcr-4:arm64	4.4.0.1-8	installed
gir1.2-gdesktopenums-3.0:arm64	51~rc-0ubuntu1	installed
gir1.2-gdkpixbuf-2.0:arm64	2.44.7+dfsg-1	installed
gir1.2-gdm-1.0	51~rc-0ubuntu1	installed
gir1.2-geoclue-2.0:arm64	2.7.2-2ubuntu3	installed
gir1.2-girepository-3.0:arm64	2.90.0-1	installed
gir1.2-glib-2.0:arm64	2.90.0-1	installed
gir1.2-gmenu-3.0:arm64	3.38.1-1ubuntu1	installed
gir1.2-gnomeautoar-0.1:arm64	0.4.5-5	installed
